Year,Model,Condition,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
2022,Pilot Black Edition,New,4.8,1978,Crystal,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H7XNB078624,22797,4,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
2023,Odyssey Sport,New,2.2,338,Crystal Black Pearl,Black,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H76PB036497,936497,3,5.0,5.0,4.0,4.0,4.0,5.0,MI,Dealer
2022,Pilot EX-L,New,4.5,1126,Crystal Black Pearl,–,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H54NB093585,NB093585,5,5.0,5.0,5.0,5.0,5.0,5.0,WA,Dealer
2021,Accord Hybrid EX-L,Honda Certified,4.6,146,Radiant Red Metallic,Ivory,Front-wheel Drive,48–48,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F53MA014141,19B12038,5201,4.7,4.5,4.5,4.4,4.6,4.4,TN,Dealer
2019,Civic Type R Touring,Used,4.2,403,White,Red,Front-wheel Drive,22–28,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,SHHFK8G77KU203248,U13659Z,26770,4.6,4.7,5.0,4.8,4.8,4.8,CO,Dealer
2022,Accord Sport 1.5T,New,4.9,559,Platinum White Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F34NA116455,116455,10,5.0,5.0,5.0,5.0,5.0,5.0,TX,Dealer
2018,Odyssey Touring,Used,4.6,68,Red,Beige,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H88JB076869,72646,72713,4.8,4.7,4.6,4.3,4.7,4.6,CA,Dealer
2023,CR-V EX-L,New,4.7,0,Mountain Air Metallic,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS3H74PH301808,PH301808,12,5.0,5.0,5.0,4.0,4.0,5.0,NC,Dealer
2023,Ridgeline Black Edition,New,4.4,124,Platinum White Pearl,Black,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F86PB001362,PB001362,1,5.0,4.8,4.8,4.2,5.0,5.0,PA,Dealer
2023,CR-V Hybrid Sport Touring,New,5.0,3543,Still Night Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H91PH800813,98269,15,5.0,3.0,4.0,4.0,5.0,5.0,IL,Dealer
2022,Accord Sport 1.5T,New,2.9,27,Crystal Black Pearl,Black,FWD,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F38NA114000,3114000,0,5.0,5.0,5.0,5.0,5.0,5.0,MD,Dealer
2022,Accord LX 1.5T,Used,4.7,2869,Silver,Black,Front-wheel Drive,30–38,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F15NA046821,TNA046821,14073,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer
2023,CR-V Hybrid Sport Touring,New,4.4,7,Still Night Pearl,Black,All-wheel Drive,,Hybrid,1-Speed CVT with Overdrive,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H96PH803349,25791,4,5.0,3.0,4.0,4.0,5.0,5.0,LA,Dealer
2022,CR-V Hybrid Touring,Honda Certified,5.0,2703,Modern Steel Metallic,Black,All-wheel Drive,40–35,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,5J6RT6H99NL031185,P19009,11743,4.6,4.9,4.5,4.6,4.8,4.7,MO,Dealer
2023,CR-V EX-L,New,4.7,306,Lunar Silver Metallic,Blk Lth,All-wheel Drive,27–32,Gasoline,CVT,4 Cylinder Engine,2HKRS4H76PH402211,233001,71,5.0,5.0,5.0,4.0,4.0,5.0,MI,Dealer
2023,Civic EX,New,5.0,2546,Lunar Silver Metallic,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HGFE1F79PH303758,PH303758,14,,,,,,,GA,Dealer
2021,Insight EX,Used,5.0,2361,Modern Steel Metallic,Gray,Front-wheel Drive,55–49,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,19XZE4F50ME005246,S005246T,10648,5.0,5.0,5.0,5.0,5.0,5.0,NJ,Dealer
2019,HR-V Sport,Used,4.7,344,Aegean Blue Metallic,–,Front-wheel Drive,28–34,Gasoline,continuously variable w/sport mode,4 Cylinder Engine,3CZRU5H18KM728990,PM721068A,26314,4.6,4.6,4.4,4.6,4.8,4.7,TN,Dealer
2018,Accord Sport,Used,4.8,1576,Crystal Black Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F39JA198743,JA198743S,36027,4.8,4.8,4.7,4.7,4.8,4.8,WA,Dealer
2018,Accord Touring,Used,4.3,967,Kona Coffee Metallic,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F9XJA163911,1030527,20865,4.8,4.8,4.7,4.7,4.8,4.8,MN,Dealer
2021,Passport EX-L,Honda Certified,5.0,1572,Obsidian Blue Pearl,Gray,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H53MB023246,49362B,9121,4.9,4.7,4.8,4.6,4.8,4.8,MA,Dealer
2023,Pilot Elite,New,4.8,2503,Lunar Silver,Gray,All-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H87PB006243,H3006243,0,,,,,,,TX,Dealer
2006,Element LX,Used,3.9,348,Silver,Gray / Blue,Front-wheel Drive,22–26,Gasoline,4-Speed Automatic,2.4L I4 16V MPFI DOHC,5J6YH18316L005869,005869,152767,4.2,4.4,4.1,4.5,4.5,4.6,IN,Dealer
2023,Pilot TrailSport,New,4.9,435,Sonic Gray Pearl,Black,All-wheel Drive,18–23,Gasoline,10-SPEED A/T,V6 Cylinder Engine,5FNYG1H6XPB006333,40838-01,0,,,,,,,MA,Dealer
2021,Pilot Special Edition,Honda Certified,4.9,840,Lunar Silver Metallic,Gray,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H20MB017155,PL1258,24442,4.9,4.8,4.8,4.7,4.7,4.8,MN,Dealer
2020,Civic Sport,Used,4.9,239,Blue,–,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H48LU210208,E2411A,26765,4.8,4.8,4.9,4.8,4.9,4.9,KS,Dealer
2020,Accord LX 1.5T,Used,5.0,5162,Modern Steel Metallic,Black,Front-wheel Drive,30–38,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F14LA100686,T9759A,10539,4.8,4.8,4.8,4.8,4.9,4.9,MN,Dealer
2015,Pilot SE,Used,4.0,9531,White,Gray,Four-wheel Drive,17–24,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNYF4H35FB068313,2002172531,53630,4.8,4.7,4.7,4.8,4.6,4.9,IL,
2022,CR-V EX,New,3.9,161,CRYSTAL BLACK,Black,All-wheel Drive,27–32,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,7FARW2H59NE056453,62186,10,4.9,4.8,4.7,4.8,4.7,4.9,WI,Dealer
2022,Accord Sport 1.5T,New,4.8,1277,Still Night Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F35NA090044,H090044,3,5.0,5.0,5.0,5.0,5.0,5.0,VA,Dealer
2023,CR-V Hybrid Sport,Used,4.4,0,Blue,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H59PH800944,HT1438A,385,5.0,3.0,4.0,4.0,5.0,5.0,OH,Dealer
2019,Accord Sport,Used,4.7,11,Blue,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F36KA054603,23445691,41554,4.7,4.7,4.7,4.7,4.8,4.8,NE,Dealer
2020,Accord Sport 1.5T,Used,4.6,1421,San Marino Red,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F36LA088980,LA088980H,22160,4.8,4.8,4.8,4.8,4.9,4.9,OR,Dealer
2023,CR-V EX,New,4.7,228,Platinum White Pearl,Gray,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARS4H45PE012953,B30121,7,5.0,5.0,5.0,4.0,4.0,5.0,IN,Dealer
2023,Pilot Touring,New,5.0,1370,Sonic Gray Pearl,Black,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI DOHC,5FNYG1H71PB001708,2H30305,1,,,,,,,CO,Dealer
2023,CR-V Hybrid Sport Touring,New,4.4,38,Platinum White Pearl,Gray,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H94PE000459,53069,25,5.0,3.0,4.0,4.0,5.0,5.0,IN,Dealer
2020,Passport EX-L,Used,4.8,80,Platinum White Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H55LB008729,112397,56996,4.9,4.8,4.8,4.6,4.8,4.8,PA,Dealer
2020,CR-V Hybrid EX-L,Used,4.1,679,Platinum,–,All-wheel Drive,40–35,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,7FART6H89LE012931,H702779A,9659,4.7,4.6,4.3,4.3,4.6,4.6,FL,Dealer
2020,Passport Sport,Used,3.9,1600,Crystal Black Pearl,Black,Front-wheel Drive,20–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF7H21LB000272,A8F-00272,36794,4.9,4.8,4.8,4.6,4.8,4.8,NC,Dealer
2022,Pilot EX-L,New,4.8,2503,Crystal Black Pearl,Black,Front-wheel Drive,20–27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H5XNB038990,H2038990,0,5.0,5.0,5.0,5.0,5.0,5.0,TX,Dealer
2023,CR-V Hybrid Sport Touring,New,4.9,2110,Platinum White Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H92PH800514,RH30514,0,5.0,3.0,4.0,4.0,5.0,5.0,OR,Dealer
2023,Odyssey Elite,New,5.0,1103,Obsidian Blue Pearl,Gray,Front-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNRL6H90PB019146,Q00095,1,5.0,5.0,4.0,4.0,4.0,5.0,VA,Dealer
2017,Civic EX,Used,4.2,14,Modern Steel Metallic,Black,Front-wheel Drive,31–40,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,19XFC2F74HE016044,016044,58761,4.7,4.7,4.8,4.8,4.8,4.8,MO,Dealer
2022,Civic EX,Used,4.6,2990,Meteorite Gray Metallic,Black,Front-wheel Drive,33–42,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,JHMFE1F74NX004975,NX004975,21968,4.6,4.9,4.4,4.6,4.6,4.7,OR,Dealer
2023,Pilot Elite,New,4.8,1732,Modern Steel Metallic,–,AWD,,Gasoline,10-Speed Automatic,3.5L V6 DOHC 24V,5FNYG1H87PE003052,P2133,1,,,,,,,IL,Dealer
2021,Insight Touring,Used,5.0,22,White,Gray,Front-wheel Drive,51–45,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,19XZE4F99ME002641,23441989,21011,5.0,5.0,5.0,5.0,5.0,5.0,VA,Dealer
2021,Pilot Special Edition,Used,5.0,1143,Crystal Black Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H2XMB016482,H11954A,33525,4.9,4.8,4.8,4.7,4.7,4.8,NE,Dealer
2023,Odyssey Sport,New,4.4,663,Radiant Red Metallic II,Black,Front-wheel Drive,19–28,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNRL6H72PB025304,HCPB025304,5,5.0,5.0,4.0,4.0,4.0,5.0,VA,Dealer
2020,Pilot EX-L,Honda Certified,4.3,1172,Crystal Black,Gray,Front-wheel Drive,19–27,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H54LB009675,P33016A,20109,4.6,4.5,4.2,4.1,4.5,4.1,LA,Dealer
2023,Pilot Elite,New,3.9,161,Sonic Gray Pearl,Black,All-wheel Drive,19–25,Gasoline,Automatic,Premium Unleaded V-6 3.5 L/212,5FNYG1H84PB004241,62486,1,,,,,,,WI,Dealer
2022,HR-V LX,Used,4.7,15,Lunar Silver Metallic,Gray,All-wheel Drive,27–31,Gasoline,CVT,4 Cylinder Engine,3CZRU6H38NM724062,4062,1547,3.8,3.2,3.6,3.6,4.2,4.2,MN,Dealer
2023,Pilot EX-L 7-Passenger,New,4.7,2444,Platinum White Pearl,–,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI DOHC,5FNYG1H50PB004954,PB004954,5,,,,,,,FL,Dealer
2019,Odyssey Elite,Used,4.8,3229,Obsidian Blue Pearl,Gray,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H92KB043330,B043330,70521,4.8,4.6,4.5,4.3,4.7,4.5,FL,Dealer
2023,Civic Si Base,New,4.7,3094,Crystal Black Pearl,Black / Red,Front-wheel Drive,,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFE1E50PH471112,A471112,11,,,,,,,FL,Dealer
2023,Odyssey Touring,New,4.8,1279,Radiant Red Metallic II,Beige,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H87PB034136,H30443,0,5.0,5.0,4.0,4.0,4.0,5.0,AZ,Dealer
2022,Pilot Sport,New,5.0,251,Crystal Black Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H3XNB085067,39936,6,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer
2019,Civic Si Base,Used,4.7,5248,Platinum White Pearl,–,Front-wheel Drive,28–38,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFC3A50KH754612,KH754612,36427,4.7,4.8,4.7,4.8,4.8,4.9,AZ,Dealer
2022,Accord Hybrid Touring,New,4.5,230,Crystal Black Pearl,–,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F94NA040185,NA040185,4,4.9,5.0,5.0,4.9,4.9,5.0,TX,Dealer
2018,Pilot EX-L,Used,4.5,191,White,Gray,All-wheel Drive,18–26,Gasoline,"Automatic, 6-Spd",V6 Cylinder Engine,5FNYF6H57JB011696,222751,69168,4.7,4.6,4.7,4.5,4.6,4.7,WA,Dealer
2022,Passport TrailSport,Honda Certified,5.0,778,Sonic Gray Pearl,Black,All-wheel Drive,19–24,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNYF8H63NB008708,ER8810,12491,5.0,5.0,4.9,5.0,4.9,5.0,PA,Dealer
2023,Ridgeline Black Edition,New,4.5,1691,Sonic Gray Pearl,–,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F86PB014130,PB014130,5,5.0,4.8,4.8,4.2,5.0,5.0,TX,Dealer
2019,Insight EX,Used,4.4,1192,Crystal Black Pearl,Black,Front-wheel Drive,55–49,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,19XZE4F57KE004186,KE004186,74480,4.6,4.8,4.5,4.7,4.8,4.8,OH,Dealer
2018,Civic Type R Touring,Used,4.6,154,Championship White,Red / Black,Front-wheel Drive,22–28,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,SHHFK8G77JU202986,U202986,29802,4.5,4.7,4.9,4.7,4.7,4.8,WI,Dealer
2022,Accord Hybrid Sport,New,2.4,246,Platinum White Pearl,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F26NA044662,L61143,3,4.9,5.0,5.0,4.9,4.9,5.0,IL,Dealer
2016,Fit LX,Used,4.7,2284,Red,–,Front-wheel Drive,33–41,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC,JHMGK5H53GX013573,GX013573,28023,4.2,4.5,4.4,4.6,4.5,4.7,FL,Dealer
2023,Civic Si,New,4.2,1578,Platinum White Pearl,Black/Red,Front-wheel Drive,27–37,Gasoline,Manual,Intercooled Turbo Premium Unleaded I-4 1.5 L/91,A014128300064,A014128300064,5,,,,,,,NJ,Dealer
2022,Pilot TrailSport,New,4.8,723,Sonic Gray Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H87NB092540,H092540,5,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer
2023,CR-V Hybrid Sport Touring,New,5.0,1155,Lunar Silver Metallic,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H99PH802583,PH802583,5,5.0,3.0,4.0,4.0,5.0,5.0,MO,Dealer
2022,Pilot Touring 7-Passenger,New,4.4,124,Crystal Black Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H62NB083954,NB083954,3,5.0,5.0,5.0,5.0,5.0,5.0,PA,Dealer
2023,Ridgeline Black Edition,New,5.0,1664,Sonic Gray Pearl,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F83PB010830,35513,6,5.0,4.8,4.8,4.2,5.0,5.0,VA,Dealer
2020,HR-V LX,Used,4.8,9,Gray,Black,All-wheel Drive,27–31,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,3CZRU6H31LM724739,23660036,2235,4.7,4.8,4.7,4.8,4.8,4.7,MN,Dealer
2020,Pilot Touring 7-Passenger,Used,5.0,1751,Crystal Black Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H69LB063813,V230049A,30300,4.6,4.5,4.2,4.1,4.5,4.1,MO,Dealer
2019,Civic Sport,Used,4.9,13,Silver,Black,FWD,29–36,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,2HGFC4B89KH303287,23693143,64276,4.8,4.8,4.9,4.8,4.9,4.9,FL,Dealer
2022,Pilot Special Edition,New,3.0,150,Platinum White,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H27NB104410,421290,7,5.0,5.0,5.0,5.0,5.0,5.0,AL,Dealer
2010,Civic Hybrid,Used,4.3,12,Silver,Blue,Front-wheel Drive,40–45,Hybrid,Automatic CVT,1.3L I4 8V MPFI SOHC Hybrid,JHMFA3F22AS004945,65862788,129577,4.5,4.4,3.7,4.4,4.4,4.4,NJ,Dealer
2022,Passport Elite,New,5.0,951,White,–,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H06NB031864,NB031864R,10,5.0,5.0,4.9,5.0,4.9,5.0,MA,Dealer
2023,CR-V Hybrid Sport Touring,New,5.0,1370,Lunar Silver Metallic,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H94PE004754,2H30335,1,5.0,3.0,4.0,4.0,5.0,5.0,CO,Dealer
2020,Accord EX 1.5T,Honda Certified,4.7,423,Lunar Silver Metallic,Black,Front-wheel Drive,30–38,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F44LA056683,H222210A,59274,4.8,4.8,4.8,4.8,4.9,4.9,OH,Dealer
2023,Ridgeline RTL-E,New,5.0,190,Lunar Silver,–,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F74PB010021,3152,5,5.0,4.8,4.8,4.2,5.0,5.0,TX,Dealer
2018,CR-V EX-L,Used,4.7,2,White,Tan,All-wheel Drive,27–33,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRW2H86JH651052,23513025,42082,4.8,4.7,4.7,4.6,4.7,4.7,FL,Dealer
2018,Odyssey Elite,Used,4.5,348,White Diamond Pearl,Beige,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H90JB024337,JB024337T,114127,4.8,4.7,4.6,4.3,4.7,4.6,FL,Dealer
2018,HR-V LX,Used,4.8,437,Green,–,Front-wheel Drive,28–34,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,3CZRU5H37JM707788,788392,33872,4.7,4.5,4.7,4.6,4.8,4.8,NM,Dealer
2022,Pilot TrailSport,New,4.7,502,Sonic Gray Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H83NB089456,NB089456,3,5.0,5.0,5.0,5.0,5.0,5.0,FL,Dealer
2019,Odyssey Elite,Used,4.6,0,Deep Scarlet Pearl,–,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H94KB085806,230033A,14459,4.8,4.6,4.5,4.3,4.7,4.5,TX,Dealer
2022,Pilot Special Edition,New,4.1,14,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H22NB104380,H3072,2,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer
2019,Ridgeline Black Edition,Used,3.5,150,Black,Black,All-wheel Drive,18–25,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F80KB045432,W045432PC,7476,4.9,4.8,4.8,4.6,4.7,4.9,WA,Dealer
2023,CR-V EX-L,New,4.7,3,Urban Gray Pearl,Black,AWD,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H73PH411478,PH411478,2,5.0,5.0,5.0,4.0,4.0,5.0,NC,Dealer
2015,Crosstour EX-L,Used,3.0,313,White,Black,Four-wheel Drive,19–28,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5J6TF2H50FL000315,K230004C,81683,4.7,4.8,4.6,4.5,4.7,4.8,NY,Dealer
2019,Insight LX,Used,4.1,27,Black,Black,Front-wheel Drive,55–49,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,19XZE4F18KE014626,U9635,133972,4.6,4.8,4.5,4.7,4.8,4.8,CA,Dealer
2019,Insight EX,Used,5.0,5766,Gray,Black,Front-wheel Drive,55–49,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,19XZE4F50KE033965,W585554B,51106,4.6,4.8,4.5,4.7,4.8,4.8,FL,Dealer
2022,Pilot Sport,New,3.4,260,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H31NB084793,7017,2,5.0,5.0,5.0,5.0,5.0,5.0,VA,Dealer
2023,Passport Elite,New,4.6,1504,Radiant Red Metallic II,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H03PB003653,CHS230263,3,,,,,,,NC,Dealer
2023,Pilot Touring,New,4.7,2444,Crystal Black Pearl,–,Front-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI DOHC,5FNYG2H77PB000942,PB000942,5,,,,,,,FL,Dealer
2023,CR-V Hybrid Sport Touring,New,4.8,162,Silver,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H95PH800636,18508,2,5.0,3.0,4.0,4.0,5.0,5.0,KY,Dealer
2023,CR-V EX-L,New,4.8,1030,Still Night Pearl,–,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L 4 Cylinder,7FARS3H7XPE001659,PE001659,5,5.0,5.0,5.0,4.0,4.0,5.0,GA,Dealer
2023,Passport EX-L,New,4.4,124,Platinum White Pearl,Black,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNYF8H50PB002147,PB002147,5,,,,,,,PA,Dealer
2022,Accord Sport 2.0T,New,4.4,124,Still Night Pearl,Black,Front-wheel Drive,22–32,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F34NA019178,NA19178,0,5.0,5.0,5.0,5.0,5.0,5.0,PA,Dealer
2023,Civic Sport Touring,New,4.7,2444,Platinum White Pearl,–,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,19XFL1H82PE002349,PE002349,5,,,,,,,FL,Dealer
2018,Civic Sport,Used,4.4,851,White Orchid Pearl,Black / Ivory,Front-wheel Drive,29–38,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,SHHFK7G4XJU240387,B23293B,49793,4.7,4.7,4.8,4.8,4.9,4.8,NH,Dealer
2023,Ridgeline Black Edition,New,4.4,878,Platinum,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F87PB006229,PB006229,10,5.0,4.8,4.8,4.2,5.0,5.0,VA,Dealer
2023,Civic Si Base,New,5.0,2945,Crystal Black Pearl,Red / Black,FWD,,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFE1E55PH471977,PH471977,3,,,,,,,FL,Dealer
2023,Odyssey EX-L,New,4.4,87,Modern Steel Metallic,Gray,Front-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNRL6H63PB033077,6H230042,15,5.0,5.0,4.0,4.0,4.0,5.0,MN,Dealer
2020,Passport Touring,Used,4.8,3,Crystal Black Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H9XLB013590,11396ADS,24171,4.9,4.8,4.8,4.6,4.8,4.8,AK,Dealer
2022,CR-V EX,New,4.7,739,Platinum White Pearl,Black,Front-wheel Drive,28–34,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARW1H58NE020800,C17633,2,4.9,4.8,4.7,4.8,4.7,4.9,IL,Dealer
2022,Odyssey EX,Used,4.5,107,Silver Gray,–,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H5XNB038846,NB038846,28229,4.3,4.4,4.3,4.1,4.3,4.3,TX,Dealer
2023,CR-V EX-L,New,4.6,6558,Crystal Black Pearl,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H70PH400129,230124,6,5.0,5.0,5.0,4.0,4.0,5.0,MN,Dealer
2022,Pilot Sport,New,5.0,1,Platinum White Pearl,Black,Front-wheel Drive,20–27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H38NB037349,N11321,18,5.0,5.0,5.0,5.0,5.0,5.0,NC,Dealer
